id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.323,SEAFORD,0.001282255,27,21056.65781,21057.65781
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.324,BEULAH,0.074794904,11,147.0688427,148.0688427
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.325,KINNABULLA,0.013013855,1,76.84117903,77.84117903
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.326,NANGANA,0.000400454,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.328,MARYKNOLL,0.000336147,1,2974.888371,2975.888371
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.330,AIRLY,0.00258288,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.331,LAMPLOUGH,0.002082387,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.332,BELLBIRD CREEK,0.002082799,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.455,REDAN,0.000224984,4,17779.00275,17780.00275
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.333,GOUGHS BAY,0.003808889,2,525.0875346,526.0875346
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.334,MYRTLEFORD,0.008108736,30,3699.713534,3700.713534
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.335,BUCKLAND,0.037894644,4,105.5558142,106.5558142
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.436,MOUNT PLEASANT,0.000227501,3,13186.75741,13187.75741
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.336,MOUNT BUFFALO,0.020702637,9,434.7272256,435.7272256
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.337,MALLACOOTA,0.024684095,29,1174.845593,1175.845593
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.338,BARWON DOWNS,0.01342977,6,446.7686415,447.7686415
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.339,LALBERT,0.034158421,7,204.9275029,205.9275029
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.340,APSLEY,0.033612246,11,327.2616754,328.2616754
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.351,CALIFORNIA GULLY,0.000369688,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.341,SIDONIA,0.004378289,1,228.3997102,229.3997102
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.353,CLARINDA,0.000375265,3,7994.353602,7995.353602
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.354,INVERMAY PARK,0.000256937,3,11675.99752,11676.99752
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.355,CORACK EAST,0.004264184,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.356,CADELLO,0.000715803,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.342,LANGLEY,0.002412649,2,828.9642671,829.9642671
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.343,BILLABONG,0.018678912,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.344,HOWITT PLAINS,0.018661235,1,53.58702014,54.58702014
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.389,YANGOURA,0.020813854,1,48.04492161,49.04492161
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.345,MONTROSE,0.001138316,10,8784.909048,8785.909048
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.346,YELLINGBO,0.004452998,2,449.135659,450.135659
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.347,MOOROOLBARK,0.001268673,21,16552.73106,16553.73106
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.348,SEVILLE EAST,0.000991625,2,2016.891166,2017.891166
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.349,WOORI YALLOCK,0.002709072,8,2953.040907,2954.040907
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.350,SOUTHERN CROSS,0.001128745,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.393,MOGGS CREEK,0.000428069,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.352,HIGHETT,0.000375655,22,58564.3257,58565.3257
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.357,RINGWOOD NORTH,0.000535067,9,16820.3346,16821.3346
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.358,MONTGOMERY,0.00126839,2,1576.80174,1577.80174
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.361,DOCKLANDS,0.000323125,234,724178.6054,724179.6054
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.359,MARIBYRNONG,0.000561901,56,99661.69628,99662.69628
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.360,CAMPBELLFIELD,0.001250927,69,55159.09264,55160.09264
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.362,ROCKY POINT,0.000722766,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.401,LEIGH CREEK,0.000531236,1,1882.403725,1883.403725
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.363,NUTFIELD,0.000718162,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.364,PAYNESVILLE,0.000719357,13,18071.68353,18072.68353
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.365,ANGLESEA,0.010004983,34,3398.306667,3399.306667
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.366,DUMOSA,0.015532719,2,128.7604533,129.7604533
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.367,MIGA LAKE,0.018320493,3,163.7510497,164.7510497
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.368,NORADJUHA,0.018292692,1,54.66663869,55.66663869
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.369,KALPIENUNG,0.012981198,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.370,TALLAROOK,0.018063306,18,996.4953261,997.4953261
